sport,team,elo,updated_at
nba,Atlanta Hawks,1669.07,2026-05-28T23:57:58
nba,Boston Celtics,1743.78,2026-05-28T23:57:58
nba,Brooklyn Nets,1222.07,2026-05-28T23:57:58
nba,Charlotte Hornets,1636.13,2026-05-28T23:57:58
nba,Chicago Bulls,1297.98,2026-05-28T23:57:58
nba,Cleveland Cavaliers,1641.43,2026-05-28T23:57:58
nba,Dallas Mavericks,1285.04,2026-05-28T23:57:58
nba,Denver Nuggets,1712.37,2026-05-28T23:57:58
nba,Detroit Pistons,1734.57,2026-05-28T23:57:58
nba,Golden State Warriors,1351.57,2026-05-28T23:57:58
nba,Houston Rockets,1625.34,2026-05-28T23:57:58
nba,Indiana Pacers,1266.43,2026-05-28T23:57:58
nba,LA Clippers,1525.21,2026-05-28T23:57:58
nba,Los Angeles Lakers,1670.83,2026-05-28T23:57:58
nba,Memphis Grizzlies,1162.03,2026-05-28T23:57:58
nba,Miami Heat,1480.91,2026-05-28T23:57:58
nba,Milwaukee Bucks,1328.61,2026-05-28T23:57:58
nba,Minnesota Timberwolves,1551.84,2026-05-28T23:57:58
nba,New Orleans Pelicans,1387.48,2026-05-28T23:57:58
nba,New York Knicks,1682.73,2026-05-28T23:57:58
nba,Oklahoma City Thunder,1811.69,2026-05-28T23:57:58
nba,Orlando Magic,1604.07,2026-05-28T23:57:58
nba,Philadelphia 76ers,1540.95,2026-05-28T23:57:58
nba,Phoenix Suns,1476.08,2026-05-28T23:57:58
nba,Portland Trail Blazers,1557.73,2026-05-28T23:57:58
nba,Sacramento Kings,1334.95,2026-05-28T23:57:58
nba,San Antonio Spurs,1855.97,2026-05-28T23:57:58
nba,Toronto Raptors,1529.32,2026-05-28T23:57:58
nba,Utah Jazz,1199.58,2026-05-28T23:57:58
nba,Washington Wizards,1114.22,2026-05-28T23:57:58
football,Abkhazia,1502.32,2026-05-28T23:58:35
football,Afghanistan,1388.91,2026-05-28T23:58:35
football,Albania,1522.39,2026-05-28T23:58:35
football,Alderney,1491.75,2026-05-28T23:58:35
