date,home_team,away_team,predicted_winner,actual_winner,correct,predicted_probability,actual_result,confidence_value,favorite,favorite_won,predicted_is_favorite,predicted_is_underdog,home_win_probability,away_win_probability,confidence,predicted_home_score,predicted_away_score,actual_home_score,actual_away_score,predicted_total,actual_total,score_error,total_points_error,recent_form_edge,home_advantage_edge,offense_edge,defense_edge,fatigue_edge,injury_edge,elo_difference
2026-04-10,Milwaukee Bucks,Brooklyn Nets,Milwaukee Bucks,Milwaukee Bucks,True,0.597,1,0.597,Milwaukee Bucks,True,True,False,0.597,0.403,Low,114,111,125,108,225,233,7.0,8,-6.0,6.576,2.024,-2.6,3.4,-4.0,5.907
2026-04-10,San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,San Antonio Spurs,True,0.8,1,0.8,San Antonio Spurs,True,True,False,0.8,0.2,Medium,133,107,139,120,240,259,9.5,19,27.6,10.017,2.28,6.972,0.0,0.0,23.937
2026-04-10,Utah Jazz,Memphis Grizzlies,Utah Jazz,Utah Jazz,True,0.5119,1,0.5119,Utah Jazz,True,True,False,0.5119,0.4881,Low,126,122,147,101,248,248,21.0,0,-2.4,3.107,3.792,-3.756,0.9,0.0,-0.999
2026-04-10,Denver Nuggets,Oklahoma City Thunder,Oklahoma City Thunder,Denver Nuggets,False,0.5942,0,0.5942,Oklahoma City Thunder,False,True,False,0.4058,0.5942,Low,121,124,127,107,245,234,11.5,11,2.4,1.206,4.984,-8.548,0.0,1.0,-6.189
2026-04-10,Portland Trail Blazers,LA Clippers,Portland Trail Blazers,Portland Trail Blazers,True,0.5223,1,0.5223,Portland Trail Blazers,True,True,False,0.5223,0.4777,Low,116,114,116,97,230,213,8.5,17,1.2,2.54,-2.18,2.648,0.0,0.0,-3.003
2026-04-10,Sacramento Kings,Golden State Warriors,Golden State Warriors,Sacramento Kings,False,0.5022,0,0.5022,Golden State Warriors,False,True,False,0.4978,0.5022,Low,118,117,124,118,235,242,3.5,7,1.2,1.692,-0.192,-1.824,4.3,0.0,-5.295
2026-04-10,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,Los Angeles Lakers,True,0.656,1,0.656,Los Angeles Lakers,True,True,False,0.656,0.344,Low,115,116,101,73,231,174,28.5,57,2.4,5.189,-0.62,-1.504,-3.4,0.0,6.648
2026-04-12,Boston Celtics,Orlando Magic,Boston Celtics,Boston Celtics,True,0.72,1,0.72,Boston Celtics,True,True,False,0.72,0.28,Medium,123,113,113,108,236,221,7.5,15,-1.2,5.675,-1.028,5.636,0.0,0.0,6.342
2026-04-12,Cleveland Cavaliers,Washington Wizards,Cleveland Cavaliers,Cleveland Cavaliers,True,0.8,1,0.8,Cleveland Cavaliers,True,True,False,0.8,0.2,Medium,133,112,130,117,245,247,4.0,2,28.8,10.436,2.188,3.752,0.0,3.5,22.05
2026-04-12,Indiana Pacers,Detroit Pistons,Detroit Pistons,Detroit Pistons,True,0.72,1,0.72,Detroit Pistons,True,True,False,0.28,0.72,Medium,113,123,121,133,236,254,9.0,18,-18.0,-3.018,1.236,-5.088,0.0,0.0,-18.255
2026-04-12,Miami Heat,Atlanta Hawks,Atlanta Hawks,Miami Heat,False,0.7,0,0.7,Atlanta Hawks,False,True,False,0.3,0.7,Medium,117,127,143,117,244,260,18.0,16,-10.8,3.156,2.74,-9.364,0.0,0.0,-4.872
2026-04-12,New York Knicks,Charlotte Hornets,New York Knicks,Charlotte Hornets,False,0.6943,0,0.6943,New York Knicks,False,True,False,0.6943,0.3057,Medium,115,112,96,110,227,206,10.5,21,9.6,2.137,0.492,-1.14,0.0,0.0,-0.015
2026-04-12,Philadelphia 76ers,Milwaukee Bucks,Philadelphia 76ers,Philadelphia 76ers,True,0.7,1,0.7,Philadelphia 76ers,True,True,False,0.7,0.3,Medium,121,111,126,106,232,232,5.0,0,4.8,6.444,2.496,0.456,0.0,4.0,6.186
2026-04-12,Toronto Raptors,Brooklyn Nets,Toronto Raptors,Toronto Raptors,True,0.7,1,0.7,Toronto Raptors,True,True,False,0.7,0.3,Medium,121,103,136,101,224,237,8.5,13,8.4,8.968,5.248,1.916,0.0,0.0,13.797
2026-04-12,Dallas Mavericks,Chicago Bulls,Chicago Bulls,Dallas Mavericks,False,0.5127,0,0.5127,Chicago Bulls,False,True,False,0.4873,0.5127,Low,122,121,149,128,243,277,17.0,34,-3.6,1.74,-1.476,1.584,0.0,3.0,-1.935
2026-04-12,Houston Rockets,Memphis Grizzlies,Houston Rockets,Houston Rockets,True,0.8,1,0.8,Houston Rockets,True,True,False,0.8,0.2,Medium,133,105,132,101,238,233,2.5,5,31.2,8.629,1.66,9.752,0.0,0.0,17.871
2026-04-12,Minnesota Timberwolves,New Orleans Pelicans,Minnesota Timberwolves,Minnesota Timberwolves,True,0.7,1,0.7,Minnesota Timberwolves,True,True,False,0.7,0.3,Medium,121,111,132,126,232,258,13.0,26,13.2,5.386,-2.82,6.564,0.0,0.0,3.858
2026-04-12,Oklahoma City Thunder,Phoenix Suns,Oklahoma City Thunder,Phoenix Suns,False,0.8,0,0.8,Oklahoma City Thunder,False,True,False,0.8,0.2,Medium,123,108,103,135,231,238,23.5,7,14.4,6.049,4.3,0.56,0.0,-1.0,10.26
2026-04-12,San Antonio Spurs,Denver Nuggets,San Antonio Spurs,Denver Nuggets,False,0.7097,0,0.7097,San Antonio Spurs,False,True,False,0.7097,0.2903,Medium,126,120,118,128,246,246,8.0,0,-6.0,6.947,-4.496,6.656,0.0,0.0,8.961
2026-04-12,Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,Los Angeles Lakers,True,0.7,1,0.7,Los Angeles Lakers,True,True,False,0.7,0.3,Medium,129,113,131,107,242,238,4.0,4,15.6,9.748,-6.772,12.064,0.0,0.0,18.519
2026-04-12,LA Clippers,Golden State Warriors,LA Clippers,LA Clippers,True,0.7,1,0.7,LA Clippers,True,True,False,0.7,0.3,Medium,121,110,115,110,231,225,3.0,6,8.4,4.791,-0.736,4.228,0.0,0.0,7.98
2026-04-12,Portland Trail Blazers,Sacramento Kings,Portland Trail Blazers,Portland Trail Blazers,True,0.7,1,0.7,Portland Trail Blazers,True,True,False,0.7,0.3,Medium,123,107,122,110,230,232,2.0,2,4.8,8.472,0.36,6.48,0.0,0.0,11.295
2026-04-18,New York Knicks,Atlanta Hawks,New York Knicks,New York Knicks,True,0.7308,1,0.7308,New York Knicks,True,True,False,0.7308,0.2692,Medium,115,114,113,102,229,215,7.0,14,7.2,5.296,-5.424,4.164,0.0,0.0,2.25
2026-04-18,Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers,Cleveland Cavaliers,True,0.72,1,0.72,Cleveland Cavaliers,True,True,False,0.72,0.28,Medium,119,118,126,113,237,239,6.0,2,6.0,5.801,2.864,-6.248,0.0,0.0,7.413
2026-04-18,Denver Nuggets,Minnesota Timberwolves,Denver Nuggets,Denver Nuggets,True,0.72,1,0.72,Denver Nuggets,True,True,False,0.72,0.28,Medium,129,115,116,105,244,221,11.5,23,19.2,4.177,9.152,-5.264,0.0,0.0,3.162
2026-04-18,Los Angeles Lakers,Houston Rockets,Houston Rockets,Los Angeles Lakers,False,0.6384,0,0.6384,Houston Rockets,False,True,False,0.3616,0.6384,Low,114,119,107,98,233,205,14.0,28,-8.4,3.913,-3.24,-0.792,0.0,0.0,0.843
2026-04-19,Detroit Pistons,Orlando Magic,Detroit Pistons,Orlando Magic,False,0.72,0,0.72,Detroit Pistons,False,True,False,0.72,0.28,Medium,122,111,101,112,233,213,11.0,20,2.4,5.411,0.316,4.328,0.0,0.0,6.45
2026-04-19,Boston Celtics,Philadelphia 76ers,Boston Celtics,Boston Celtics,True,0.8,1,0.8,Boston Celtics,True,True,False,0.8,0.2,Medium,122,111,123,91,233,214,10.5,19,12.0,6.927,-0.192,3.072,0.0,0.0,8.436
2026-04-19,Oklahoma City Thunder,Phoenix Suns,Oklahoma City Thunder,Oklahoma City Thunder,True,0.7,1,0.7,Oklahoma City Thunder,True,True,False,0.7,0.3,Medium,121,112,119,84,233,203,15.0,30,4.8,5.35,2.912,-0.284,0.0,-1.0,9.129
2026-04-19,San Antonio Spurs,Portland Trail Blazers,San Antonio Spurs,San Antonio Spurs,True,0.7,1,0.7,San Antonio Spurs,True,True,False,0.7,0.3,Medium,119,113,111,98,232,209,11.5,23,2.4,7.48,3.932,-3.752,0.0,0.0,11.049
2026-04-20,New York Knicks,Atlanta Hawks,New York Knicks,Atlanta Hawks,False,0.8,0,0.8,New York Knicks,False,True,False,0.8,0.2,Medium,115,111,106,107,226,213,6.5,13,13.2,5.916,-4.352,3.74,0.0,0.0,3.219
2026-04-20,Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers,Cleveland Cavaliers,True,0.72,1,0.72,Cleveland Cavaliers,True,True,False,0.72,0.28,Medium,121,117,115,105,238,220,9.0,18,10.8,6.224,3.94,-5.308,0.0,0.0,7.473
2026-04-20,Denver Nuggets,Minnesota Timberwolves,Denver Nuggets,Minnesota Timberwolves,False,0.72,0,0.72,Denver Nuggets,False,True,False,0.72,0.28,Medium,129,114,114,119,243,233,10.0,10,21.6,4.762,8.528,-3.848,0.0,0.0,4.188
2026-04-21,Boston Celtics,Philadelphia 76ers,Boston Celtics,Philadelphia 76ers,False,0.8,0,0.8,Boston Celtics,False,True,False,0.8,0.2,Medium,122,107,97,111,229,208,14.5,21,14.4,7.292,4.016,1.636,0.0,0.0,9.501
2026-04-21,San Antonio Spurs,Portland Trail Blazers,San Antonio Spurs,Portland Trail Blazers,False,0.8,0,0.8,San Antonio Spurs,False,True,False,0.8,0.2,Medium,120,110,103,106,230,209,10.5,21,12.0,7.731,4.988,-3.512,0.0,0.0,12.036
